Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 1/9 Chapelle de Guillaume Tell
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 2/9 Au lac de Wallenstadt
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 3/9 Pastorale
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 4/9 Au bord d'une source
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 5/9 Orage
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 6/9 Vallée d'Obermann
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 7/9 Eglogue
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 8/9 Le mal du pays
Liszt, Franz | Années de pèlerinage Première année: Suisse S160 - 9/9 Les cloches de Genève
