Strauss, Richard | Also sprach Zarathustra Op 30 - 1/9 Einleitung
Strauss, Richard | Also sprach Zarathustra Op 30 - 2/9 Von den Hinterwäldlern
Strauss, Richard | Also sprach Zarathustra Op 30 - 3/9 Von der großen Sehnsucht
Strauss, Richard | Also sprach Zarathustra Op 30 - 4/9 Von den Freuden und Leidenschaften
Strauss, Richard | Also sprach Zarathustra Op 30 - 5/9 Das Grablied
Strauss, Richard | Also sprach Zarathustra Op 30 - 6/9 Von der Wissenschaft
Strauss, Richard | Also sprach Zarathustra Op 30 - 7/9 Der Genesende
Strauss, Richard | Also sprach Zarathustra Op 30 - 8/9 Das Tanzlied
Strauss, Richard | Also sprach Zarathustra Op 30 - 9/9 Nachtwandlerlied
