Strauss, Richard | Le bourgeois gentilhomme Op 60 - 1/9 Overture
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 2/9 Minuet
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 3/9 The Fencing Master
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 4/9 Entrance and Dance of the Tailors
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 5/9 The Dance of the Minuet
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 6/9 Courante
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 7/9 Entrance of Cleonte
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 8/9 Prelude to Act II
Strauss, Richard | Le bourgeois gentilhomme Op 60 - 9/9 The Dinner
