Schumann, Robert | Liederkreis Op 24 - 1/9 Morgens steh ich auf und frage
Schumann, Robert | Liederkreis Op 24 - 2/9 Es treibt mich hin
Schumann, Robert | Liederkreis Op 24 - 3/9 Ich wandelte unter den Bäumen
Schumann, Robert | Liederkreis Op 24 - 4/9 Lieb Liebchen legt's Händchen
Schumann, Robert | Liederkreis Op 24 - 5/9 Schöne Wiege meiner Leiden
Schumann, Robert | Liederkreis Op 24 - 6/9 Warte warte wilder Schiffsmann
Schumann, Robert | Liederkreis Op 24 - 7/9 Berg und Burgen schaun herunter
Schumann, Robert | Liederkreis Op 24 - 8/9 Anfangs wollt ich fast verzagen
Schumann, Robert | Liederkreis Op 24 - 9/9 Mit Myrten und Rosen
